X;Y;Z
-11;-19;73
59;53;-101
-19;-41;38
30;21;85
-73;75;-97
-27;-132;-13
72;96;61
-10;16;-35
-27;-152;-13
62;68;27
-46;27;-68
-39;-16;38
7;-28;43
6;-11;-44
61;15;78
-2;56;36
-4;61;-125
-45;-249;13
-42;76;184
97;182;-100
-178;89;-38
-21;-122;-248
197;-40;31
28;28;267
-74;-75;-105
40;137;16
-25;-75;-12
-50;-133;-106
55;122;127
-44;11;-48
49;-42;51
-29;-20;-1
3;-27;37
32;24;-52
-24;43;-27
-2;5;63
-3;-59;-1
-15;12;-11
17;-13;29
-3;54;-96
-18;-18;31
47;-76;22
-17;60;-19
-23;5;46
14;-28;-50
-29;102;-46
13;-127;78
10;21;2
20;102;-60
-35;-51;49
12;-76;43
1;67;-20
14;25;-77
-19;1;-1
-28;-81;49
80;53;-71
-84;8;43
52;-84;62
-76;43;-83
36;19;11
15;-9;59
7;-21;40
-55;-1;-166
59;50;62
-18;67;64
-55;-165;-1
91;116;-38
-31;-79;-25
-37;73;45
39;4;29
-32;-109;-91
38;59;-25
20;132;78
-59;-94;-37
-5;-11;-45
57;38;92
-77;-16;-59
50;-27;15
35;10;52
21;7;-76
-35;59;59
41;-144;-22
-127;-5;-26
103;78;74
-125;-50;-107
37;-43;99
21;23;35
16;-4;-40
-6;39;-102
32;65;113
-6;-35;-55
6;-65;-29
-6;25;75
-25;101;-34
-40;-46;36
67;-59;-24
49;53;-75
-1;-76;62
-86;50;-84
58;-157;108
-32;57;-64
36;-23;36
-17;145;-12
81;-119;-10
-58;10;-11
38;-10;168
-24;-94;-137
57;72;112
-21;153;-114
21;-142;-24
-9;102;-3
4;-82;48
-75;137;-22
1;-99;33
3;-42;-64
36;197;132
-38;-210;-37
-47;128;-66
128;-44;121
-74;-203;-152
-4;153;-44
22;37;124
60;-54;-75
-48;-18;139
-37;-35;-70
10;2;-12
13;59;-89
-26;62;30
-13;-63;-1
75;-37;105
-81;69;-14
35;-16;-56
3;70;-6
9;-72;40
-8;-37;-79
42;-12;78
-45;64;-54
21;-38;-29
-34;81;26
-22;-108;37
64;89;-5
-34;-76;8
-40;71;-41
169;6;-1
-107;-133;97
-275;-60;-135
234;382;26
-181;-160;349
