X;Y;Z
-2;0;0
0;-2;-1
1;1;-2
0;-1;0
-1;-1;-1
2;-1;0
-2;-1;-1
1;0;1
-2;0;0
0;0;-1
-3;-1;1
2;1;-1
-2;-1;0
1;0;0
-2;1;-3
1;-2;2
0;1;-1
0;-2;1
-1;1;-1
-1;0;0
1;-1;-1
0;1;-2
1;0;0
-1;-3;0
-1;2;-1
0;-2;1
0;0;-1
-1;-1;-2
-3;0;1
1;1;0
1;-1;-2
-1;-1;0
0;0;0
-1;-1;0
1;-1;-3
0;0;2
-2;-1;1
0;1;0
0;-1;-1
1;-1;-1
-1;0;-1
-1;-1;0
0;0;1
0;-2;-2
-1;1;-1
-1;0;-1
-1;0;0
0;0;2
0;0;-1
0;-1;1
-2;-1;0
0;0;-2
1;-1;2
-2;0;-1
-1;-1;-1
1;1;-1
-2;-1;0
0;-1;0
0;0;-1
0;0;-1
0;0;1
1;0;-2
-2;-1;0
0;1;0
-1;-2;0
0;-1;-1
-2;-1;0
0;1;0
1;-1;1
-2;0;-1
1;-1;0
-2;1;-2
1;-1;1
-2;-1;0
2;0;1
-2;1;-4
0;-3;2
0;0;-2
-1;1;0
0;-2;1
-1;1;-2
0;-1;1
0;-1;-2
0;-3;2
-2;1;-1
2;-1;-1
-1;2;0
0;-2;0
-2;1;-1
0;-1;0
0;-1;0
0;-1;-2
-1;0;0
-1;0;0
-1;-1;0
1;0;-1
-2;-1;0
0;3;-1
-1;-3;0
1;0;1
-1;0;0
0;0;-1
-1;0;-1
0;-1;0
-2;0;0
1;1;0
0;-2;-1
-1;0;0
0;-2;-1
-1;2;1
-1;0;-1
1;-2;-1
0;0;0
0;0;-1
-2;1;0
1;-2;0
-1;0;-3
-3;-4;5
10;-1;-5
-25;18;0
-35;-92;-49
-19;53;-4
34;-16;28
46;4;26
29;-8;5
32;-14;0
40;11;3
-20;3;5
-24;8;23
-22;6;10
-8;-38;19
-22;-44;38
-3;45;-26
32;8;13
-13;11;-16
-15;49;9
7;53;-16
-6;-54;-13
4;4;8
-35;60;4
27;-71;-12
9;-20;45
-1;57;17
43;-61;-19
-49;29;-7
13;34;-46
12;-39;36
-24;-11;-2
49;14;17
-124;-20;-61
15;395;-24
107;-459;44
-48;82;16
10;-28;5
-25;26;-27
14;-2;17
-5;-3;-11
5;2;3
0;-5;-4
-8;4;-1
24;-10;15
-32;9;-14
-518;48;-101
-8;98;-819
910;-726;529
-325;530;422
-48;48;-29
-4;-3;-3
3;3;-4
0;0;2
-7;-1;-1
4;0;3
-2;-1;-2
7;2;-7
-10;0;8
-32;-43;-189
109;-51;198
-76;93;-6
0;57;32
17;-48;-70
-110;-106;30
90;92;-16
-18;22;-3
13;-15;17
8;-5;-7
-19;6;1
-5;-17;-4
1;-10;-8
0;6;-6
7;1;5
-3;2;5
6;3;-5
-5;2;7
-2;20;10
8;-14;-11
10;1;-16
0;-1;-5
55;-67;38
-68;93;-14
-15;-18;33
31;-11;-23
-14;68;-16
-15;-23;-18
20;-66;39
-2;341;54
13;-325;-92
11;7;27
10;14;-19
-96;-52;-11
88;28;21
-22;0;15
2;16;20
81;-22;-10
-98;35;-37
16;-111;55
-39;46;-64
