X;Y;Z
1080;636;524
105;438;-323
-1206;-1515;753
1051;548;-669
-282;-269;292
370;166;-318
430;683;325
-590;-692;489
395;558;-302
-827;28;-256
-431;-827;933
1756;651;368
-863;-63;-1718
78;173;-32
195;-449;465
234;448;1125
-1161;186;-1154
1220;-554;1313
466;-482;-481
-1272;1604;-1567
960;-1123;1374
-1192;555;321
372;-341;-1087
-43;183;530
44;-173;183
-327;445;723
650;-1495;-56
-608;275;55
503;618;-1527
-25;-187;596
519;142;30
414;673;-1148
-1030;-726;0
-25;1215;-1193
503;626;301
-172;-670;85
-11;750;-754
-498;-165;358
-816;-647;1202
1958;-263;-902
-333;741;-894
-404;-995;744
42;1041;-128
-491;-1478;1177
19;744;-1207
-244;57;-449
1078;-661;1247
-1629;44;-454
876;344;-98
190;248;-317
-26;482;182
-281;-735;-537
-181;754;823
-580;-880;-104
1445;291;910
-1279;255;-1330
765;525;-478
835;-991;324
-637;-460;-115
-574;808;1023
714;-868;311
-199;800;-1184
-396;174;-185
-485;830;524
749;-493;691
471;-229;-858
-189;252;-402
-197;-287;721
463;422;-1012
555;-858;626
0;49;1038
0;-70;47
-2048;-492;-753
0;197;-404
0;-423;519
0;0;775
1320;552;-399
532;1055;-1281
106;439;753
-1960;-2047;1012
437;806;-862
114;-209;-594
-53;-519;597
1128;725;887
-1505;-90;-1036
1768;-374;-446
-852;1460;477
1007;245;546
-810;-675;456
-609;-270;-1411
-509;-415;-557
442;67;867
-83;-58;-148
529;174;-456
-968;933;236
436;-17;348
1057;-63;329
222;-467;-72
-1756;-422;58
1113;580;-433
424;-319;-16
-344;-54;-480
-5;-766;1118
-43;562;613
453;143;-891
-1600;-808;149
581;696;145
273;1170;-1062
-48;-171;-262
-261;-408;1475
76;-253;-310
1049;-739;514
-278;618;-573
-778;-369;-693
422;-115;216
-256;378;-169
-97;-256;318
1158;-156;1046
162;-209;-1888
-550;355;1482
326;1111;-826
-955;121;387
343;-700;-236
-253;252;339
278;70;-912
655;466;-258
-860;-1222;1085
-222;-114;134
-545;-593;146
-75;1502;-413
-745;417;-479
2047;-2047;1207
-1105;1061;-473
-175;416;-710
590;124;746
-22;-500;866
-1337;-636;-978
622;958;714
874;-379;-1081
326;-469;-511
-566;582;605
-106;-399;322
-35;-183;927
-471;360;-1361
348;-36;-478
17;-903;1837
-261;1865;-1445
710;-429;-187
-243;236;86
396;-690;1515
431;58;-36
-878;-640;64
241;310;-1208
-818;133;-221
-289;290;-580
169;-883;1427
-475;-254;-46
1301;1150;626
-350;-600;-927
-952;-430;776
1785;1027;-1219
-1424;898;-626
1358;-361;1254
327;360;580
-586;-653;-893
-650;-180;-641
604;-181;-355
-580;-306;910
344;-448;1068
794;1461;-817
-1641;-1508;392
1084;444;-600
-972;1298;-245
520;-542;488
-196;258;-331
-773;-898;931
149;-148;-200
1587;6;-973
-1133;126;-610
522;-448;1133
-53;426;-247
-268;7;-303
269;585;509
328;-988;-127
-397;171;-364
669;1201;-208
368;310;709
0;-19;124
-633;-686;-394
24;123;-67
-1214;-315;171
442;-107;-600
-487;-156;1688
-181;-730;-874
0;-57;333
884;1060;-409
306;254;-756
-376;-272;1232
-815;-1114;472
2036;870;-1118
-336;384;-149
-14;-301;391
-710;163;-316
-933;-1150;738
62;222;-479
-107;-223;889
863;1023;-352
-214;434;-79
212;341;-843
307;-639;268
-728;-561;1046
-443;95;-825
1115;904;-663
581;-436;82
-404;-660;573
-27;432;-227
-585;-878;-156
786;1090;1214
-290;-348;-712
134;-67;-220
-1004;204;710
788;625;-1023
-290;122;190
503;-1058;675
-1310;-338;-169
1676;1294;-1075
-1677;-1586;1309
0;623;-1339
2047;971;1440
-1706;-870;-398
1019;528;110
-191;197;-1141
-299;-230;592
478;171;299
125;-450;-128
125;619;-792
-313;-550;663
358;656;-254
-491;-521;-1
372;-1150;1193
318;808;-758
-1518;-784;725
655;1846;-671
-3;-951;-408
-335;436;-410
362;153;131
-18;536;-555
-346;-547;-40
53;-438;566
-700;-764;507
2047;1747;616
-1216;-1028;-510
-91;-5;-338
-277;351;-59
1095;680;-39
80;-507;20
0;-718;473
485;598;-423
578;291;-306
561;125;-696
-438;152;320
-765;752;198
-424;-1893;444
809;-88;1063
713;1034;-939
185;-270;-301
-713;389;-568
688;276;262
-473;-502;1098
835;-781;334
-770;-216;-806
-653;1204;498
-178;-355;-1045
-37;-124;-414
907;1020;-156
69;-1747;1690
-1101;1026;-635
-103;-693;594
578;871;-185
746;22;-1081
120;499;13
-461;68;1634
564;-896;-9
49;-150;-1385
-1782;42;107
1615;81;929
-1062;59;-1093
-21;-358;526
-259;74;-860
632;46;196
-239;130;150
64;350;48
1313;590;298
-570;150;-426
-707;-955;1309
164;239;203
942;-350;-1758
-699;340;387
37;-232;-637
-1101;143;651
472;-190;24
1378;-915;1278
-509;222;-286
-848;1363;-1211
133;-559;300
165;199;106
-485;-533;1141
-422;21;-1009
1710;-353;1008
-1083;94;0
-186;46;-1725
-159;182;486
35;-74;-310
1127;925;626
-259;509;-1126
236;-309;998
-239;-257;237
9;283;-358
-940;-338;-268
900;-1130;1397
371;1127;-1263
-160;-22;-242
-606;-216;157
-116;-196;-92
206;-295;132
-66;339;72
850;-402;1163
-1371;1232;-1615
333;177;-323
240;-223;1068
1209;-1144;978
0;1163;-672
-2048;-1091;-766
0;374;469
765;37;-288
-216;-774;-478
827;1396;98
-98;-1120;1186
-1280;123;449
0;-793;-830
1247;1807;-697
-991;-736;109
1427;383;817
-774;591;-99
797;-520;-131
