X;Y;Z
-39;71;122
100;-73;-57
-114;57;-51
86;45;121
-10;-64;-136
-52;-9;36
108;232;-46
-129;-282;14
9;176;83
82;-106;41
37;-18;-133
-76;141;103
-30;-23;-153
-3;-125;139
1;52;75
62;-11;-104
-28;-54;46
56;180;-100
-84;-69;-13
47;-41;145
-65;18;-54
20;-106;-74
105;124;44
-80;-166;74
162;204;-140
-135;-39;-43
-58;-94;56
37;112;40
-23;-16;59
74;-81;-74
-37;81;33
-59;-32;-18
58;7;33
0;62;-24
37;-93;64
-21;73;-150
50;-92;190
-153;-66;-138
140;201;131
-35;-112;-203
-52;16;54
115;72;50
-113;-90;-61
-57;9;141
123;21;-118
-43;-56;-57
37;89;98
-26;-59;44
-63;-48;-122
71;129;39
-20;-140;-10
28;149;40
-77;-53;-41
2;-81;-7
59;117;96
-23;-105;-86
35;24;40
-1;21;43
-115;19;-40
136;67;-7
-145;-160;-19
101;60;66
-40;33;-15
51;-50;-49
76;28;49
-148;-51;-80
10;193;26
64;-217;24
95;229;-177
-86;-73;80
-70;-149;8
10;25;188
101;73;-196
-95;-128;66
-23;112;-89
107;151;69
-94;-169;24
-16;-74;27
22;137;-23
0;-63;-14
115;142;13
-126;-267;23
-62;90;19
156;131;-20
-41;-22;-175
-9;-135;262
74;99;-71
-257;-12;-126
233;-129;276
-177;82;-306
240;82;99
-98;-165;55
-85;223;-139
185;-182;232
-62;14;-55
34;137;-342
-38;242;-268
83;-121;-47
-81;18;193
16;7;-232
49;-22;178
52;90;20
-196;-61;-115
138;10;-34
-110;40;31
40;-106;48
71;200;-26
-36;-272;17
12;323;-44
-19;-255;53
-41;30;13
18;68;-64
105;-31;31
-65;-4;-53
-41;53;6
74;-195;54
-46;134;-19
52;-5;36
-143;11;-158
127;-75;212
-87;-45;-81
38;149;-14
-48;-62;33
-31;143;-193
95;-107;154
-1;-92;7
3;163;29
-46;-150;-89
79;146;-9
-25;-80;101
-103;13;-50
137;137;-42
-12;-135;159
-243;66;-210
334;-94;175
-69;-79;18
13;60;-33
12;137;-4
-170;-163;-142
96;26;69
-13;70;8
-138;-100;-47
148;165;30
-16;-180;31
-28;104;-35
-15;-123;162
41;39;-74
-8;-21;-31
-54;133;-67
23;-116;136
25;99;-210
-25;-119;93
5;70;97
63;-12;-58
43;151;-50
-232;-14;-77
210;-146;275
-60;-52;-207
-175;-60;-42
144;104;162
69;-5;21
-55;260;-128
11;-285;83
-154;-56;-45
173;114;23
-17;-17;44
51;132;-98
-61;-166;-28
-161;25;-25
158;14;95
-20;65;-7
40;-74;80
2;-33;-136
-46;61;99
9;-23;-79
1;-43;-116
-48;-5;141
65;109;64
32;-99;12
40;106;16
-48;-115;-56
21;108;-24
11;-37;70
-81;17;-116
53;-40;81
-59;28;-49
10;-95;28
50;100;22
-66;7;-62
62;-48;-4
-82;33;-1
46;9;-115
-90;30;129
121;42;-73
17;-209;179
-52;85;-133
62;15;112
-1;-31;-80
-59;13;-23
39;-10;45
-54;51;-34
40;-123;-31
27;88;53
-77;11;-87
56;106;65
-66;-135;11
102;62;-10
-67;-23;15
-6;-14;-56
15;13;-21
41;116;119
-31;-149;-169
-74;1;104
123;16;17
-68;130;-63
-40;-165;-11
96;13;139
-56;33;-49
84;-72;-7
-44;135;-106
-48;-72;85
40;29;-53
-5;-77;158
-31;-24;-168
-83;121;-218
82;84;254
-3;-114;-27
57;38;-5
-14;44;-53
-13;-70;2
38;-115;222
-72;84;-161
-20;44;6
98;2;-95
102;-46;161
-202;-15;-131
72;-8;249
-64;52;-152
-26;-77;30
62;100;59
-13;-140;-187
17;138;173
33;119;-86
-134;-173;-23
30;-33;-43
70;47;168
27;-65;-58
-125;40;-88
150;12;-41
-132;3;157
128;115;-71
-107;-63;-21
36;-82;-57
-95;20;53
75;-13;-59
-81;-33;82
199;77;166
15;25;-182
-100;-114;-90
-47;-15;222
70;165;-105
18;8;20
-17;-123;69
-110;23;-183
51;-52;18
29;13;173
13;-10;-123
-39;127;-60
61;-115;165
-29;47;-61
-13;-2;29
-70;-4;-115
40;-29;-90
99;-8;171
3;132;-32
-5;-85;91
-19;46;-114
-60;-88;2
0;-22;147
75;72;-123
-15;34;-41
-93;-154;19
108;78;55
-55;-43;81
32;32;-61
-58;-51;-113
-49;56;127
77;-1;-197
-17;-112;311
29;102;-165
-8;-60;27
-82;169;-125
61;-80;21
-15;91;58
2;25;-154
56;-41;131
-179;-123;-33
148;212;103
-15;-60;-175
-20;-84;113
79;-65;9
-74;-81;26
-39;204;31
0;-190;-11
49;181;-63
4;-85;22
-54;-43;-16
43;167;29
-28;-77;-148
11;-33;140
20;7;-45
106;-20;96
-177;68;-81
71;-4;-48
65;-9;32
-130;-30;-2
65;-67;19
-25;96;-32
77;-131;63
-4;75;18
-72;83;-73
-4;-66;-26
16;76;23
23;-8;-14
-87;-25;-34
105;-79;100
-55;39;-37
91;-39;34
-150;36;-7
42;19;5
49;18;19
29;-16;63
-64;31;-33
