X;Y;Z
-67;38;3
-56;-79;88
176;-27;-62
90;20;-22
-35;-35;42
-579;-487;-538
542;471;517
-24;102;-20
-119;-57;5
-7;-55;1
82;94;-19
-221;-38;76
179;-11;-27
-11;39;-29
32;13;-10
-25;1;4
-1;13;-14
6;-13;16
6;15;-4
-1;1;-5
-2;-4;-2
-3;12;-6
-37;-9;31
48;4;-44
40;-104;150
-72;68;-122
-28;-17;25
0;49;-39
10;14;-12
-40;-78;41
-1;35;-35
38;-43;37
25;51;-27
-72;-1;25
22;28;-52
13;-70;41
-48;54;-31
42;-35;49
-16;23;-38
18;-52;26
5;24;-36
30;18;27
-62;-20;3
-19;13;-5
4;11;-8
16;-27;-1
3;25;-9
-44;-132;55
-24;-12;3
-4;51;-4
-23;31;-46
25;-30;63
19;36;-70
-49;-112;63
70;196;-58
-26;-35;-11
100;90;-10
-48;-73;31
13;20;-21
43;12;-4
-17;-34;7
-8;-12;6
1;-1;0
0;6;-9
1;12;4
-51;-33;32
-11;-82;43
34;-13;-12
85;213;-114
-93;-192;113
37;106;-54
-3;-16;-37
-70;-49;40
34;74;-52
55;-1;-13
-39;-20;47
-24;-10;3
-1;-11;9
3;-3;-9
11;3;1
-32;12;4
22;0;-1
7;-10;-4
-21;-8;4
-64;20;7
96;11;-9
-59;-24;8
13;30;-40
12;-66;27
28;62;-26
-6;-69;48
-79;-42;43
43;13;-68
4;3;-5
-5;48;-2
13;20;-11
-28;10;30
4;-62;16
22;32;-35
-18;-39;14
31;12;-16
-4;16;0
-15;10;-11
-19;-26;34
26;20;-22
10;0;-11
-16;-20;21
-4;8;-8
-2;-1;5
-18;4;-3
19;-1;0
-18;-4;-4
20;22;0
-5;1;4
15;9;-4
26;5;-12
-28;-76;31
-33;95;-17
26;-54;-2
-46;-6;3
39;11;7
-3;-2;-8
-10;-2;-3
11;2;-3
-12;-8;7
2;7;0
5;-1;-2
-8;-7;-5
3;8;5
9;-1;-5
-12;-10;6
0;9;-3
10;1;-4
-15;-12;3
8;11;-1
6;-2;0
-13;-8;0
7;9;-2
5;-4;0
-13;-5;0
6;9;-4
0;-9;3
-10;-1;2
11;11;-6
-6;-14;3
-4;10;1
14;-1;-6
-14;-6;4
13;6;-4
-11;-5;2
4;-8;1
-1;1;-2
2;11;-7
0;-2;3
-3;-5;1
0;-1;1
-1;1;-1
-1;-4;0
0;1;-1
2;7;-4
-1;-6;3
-4;2;-1
-2;-4;4
3;5;-3
0;-1;-2
-4;0;2
0;-4;-1
5;5;-1
-9;-6;-1
6;-1;1
-3;3;1
5;-1;-2
-12;-5;2
13;12;-1
-14;-10;-3
5;-1;1
6;7;0
-7;-10;1
3;4;-1
-4;3;-1
6;-1;0
-11;-6;1
11;11;-6
-13;-11;0
6;3;3
4;7;-3
-5;-6;-1
1;-4;-3
-33;-14;47
-12;-42;92
-7;1;-195
32;134;66
34;47;-16
-11;-129;25
18;47;-25
-4;-60;2
-5;125;2
22;-103;3
61;58;-54
-48;108;52
29;-149;0
11;2;43
-25;6;-47
-6;6;-4
-21;8;11
44;-59;-4
-17;89;-12
6;-79;-1
19;33;3
-25;-25;-31
12;60;-3
42;-29;44
4;-14;-11
-23;21;-16
29;-4;9
-9;-4;8
17;10;-14
-1;-35;7
-50;-20;69
81;42;-106
18;2;-10
-52;-40;-42
37;66;68
9;-30;-16
-38;-8;44
60;10;-22
-69;-63;-38
50;26;-3
19;-10;15
-54;-7;-33
89;58;66
-45;-68;-57
-25;-15;-15
30;1;36
9;-8;-32
10;-18;6
7;38;-12
14;-45;41
54;17;17
-107;-36;-79
92;81;77
-148;-152;-90
106;65;36
-61;-47;25
36;99;-29
11;-72;17
11;11;-23
-39;-9;22
-4;9;-9
4;-18;6
5;26;0
-3;-23;-7
3;2;4
-2;15;3
5;14;2
-8;2;6
-2;-8;-7
4;0;-5
3;5;2
6;54;4
-37;-12;9
30;0;12
1;-26;-13
-53;-72;-14
24;101;14
26;13;-1
-90;-203;-45
107;182;11
-22;19;28
-23;-24;9
-35;-55;-32
91;62;17
1;4;0
-78;-55;7
31;40;5
35;16;-6
100;-73;48
-232;-164;-80
159;272;55
-58;-56;-5
-56;-96;-17
59;153;18
-14;-79;-26
19;41;9
-25;-17;-5
24;12;1
-12;-36;-6
-40;39;-72
36;-8;73
5;-13;1
-13;6;-3
10;-6;3
-4;0;0
11;4;1
-4;-1;-2
1;-8;2
-10;6;-3
10;0;1
0;-2;-3
-3;0;5
-7;7;-6
9;-11;3
2;-3;18
-4;-4;3
-5;5;-12
4;0;-9
-6;6;-1
7;-8;-3
-1;4;-1
-4;-1;2
4;-2;-5
-6;5;-1
8;-6;1
-8;5;0
1;-3;1
2;11;-27
-2;-13;-26
-3;-3;22
30;-16;49
30;24;-20
-37;5;-2
-19;8;26
11;-27;-9
2;-7;-11
-9;-11;-8
-22;39;206
-11;-16;-225
-56;-126;1
150;171;-17
-64;-30;48
-84;16;-13
57;146;74
2;-20;-21
63;1;-88
-117;-53;106
-86;3;12
4;-11;-26
26;41;0
13;-39;18
-88;56;-20
55;-68;49
59;-23;-28
-67;127;-16
18;-107;16
-1;35;7
37;-26;33
-29;9;-39
-20;19;-29
2;-35;-41
36;-21;40
-53;62;50
-18;-22;5
-11;31;15
-31;-7;7
-13;20;-7
-10;-63;9
10;8;-13
52;-78;-27
19;25;-59
-12;16;7
5;11;1
-9;-11;10
-6;-2;-4
13;-8;-3
-3;11;-4
-11;18;13
14;9;-1
-20;-21;-6
18;-23;-8
-2;26;-7
-19;6;18
17;0;-4
-13;-6;-10
-25;-5;1
41;-19;20
-2;13;-6
-21;-24;-36
31;-4;1
-40;16;34
18;14;-15
8;-4;6
-14;-7;0
-2;2;3
19;10;-4
-24;2;0
12;-10;4
8;2;-12
2;-9;10
-20;13;-9
21;-1;12
-2;-2;-17
-11;-8;8
12;-3;1
-1;11;-25
-3;8;84
9;67;-37
-17;-90;0
1;11;-25
56;-9;-5
-58;29;27
4;-37;-21
20;21;20
69;-30;32
-102;21;-51
-3;18;-47
-27;80;-26
12;-20;51
72;36;-30
-34;-3;13
4;22;-12
89;-20;54
-152;-220;-26
