X;Y;Z
-66;1;-30
-53;-6;-30
2;3;-6
72;-13;40
40;-4;40
-12;17;-1
-33;1;-57
-62;-1;-13
-12;-9;-11
74;15;43
34;-11;21
22;-2;-4
-21;-5;-11
-70;11;-24
-34;-6;-28
20;-6;28
74;-8;15
16;6;25
-29;16;-8
-39;-8;-37
-49;-2;-17
37;10;18
47;-1;23
11;-7;-2
23;5;25
-2;3;-15
-76;-1;-28
-10;-7;-16
23;3;24
18;-8;-1
-2;-4;9
-24;4;-14
-8;1;-1
-19;1;-20
19;6;13
28;7;13
20;3;21
-5;-13;-8
-32;6;-20
-20;-8;-11
4;4;5
38;5;17
23;-4;3
-14;1;-1
-22;4;-13
-4;-5;-3
33;10;15
13;-8;0
2;-10;12
-30;-5;-24
-21;11;-13
4;1;12
38;0;21
57;0;28
26;1;7
-73;5;-42
-63;-12;-37
-25;-1;-9
41;1;13
57;-9;37
21;0;12
-17;1;-7
-22;3;-18
-61;-7;-22
10;12;9
37;3;30
49;-9;27
-16;-4;-5
-33;-2;-40
-46;14;-22
-21;-2;-9
45;15;30
49;-6;13
34;-6;-4
-6;-9;7
-62;8;-15
-62;-8;-33
23;6;15
54;-12;20
43;-9;23
-21;21;-1
-45;-11;-42
-56;2;-15
11;-1;2
64;8;30
37;-6;16
9;3;12
-26;-11;-34
-71;9;-11
-25;-3;-18
44;-3;16
65;1;35
9;-16;-1
-40;17;-12
-45;-2;-35
-38;-1;-6
40;12;14
51;-6;25
33;-4;14
-6;4;0
-48;-8;-33
-61;3;-21
1;2;5
47;-23;14
54;10;35
12;8;11
-51;2;-49
-64;-2;-12
-18;-6;-20
64;19;37
46;-19;19
40;1;10
-47;2;-23
-55;-2;-18
-29;6;-7
18;-1;2
63;-9;37
26;1;21
-45;6;-21
-21;-4;-35
-64;2;-16
14;1;0
92;10;47
27;-10;13
-15;-3;-10
-33;-12;-26
-56;12;-8
-17;-4;-17
47;-8;21
53;-3;28
11;8;7
-45;5;-24
-36;-3;-23
