X;Y;Z
3;3;-2
-5;4;7
1;-12;-7
-6;4;-3
-7;-17;-13
15;10;-4
-2;3;5
-1;-8;-4
-4;4;9
11;20;14
-7;-14;-20
0;-6;-9
-6;-1;-7
3;0;-8
1;-1;-1
-5;0;-1
6;-1;2
-1;7;3
-13;-4;8
11;0;-6
1;-4;-2
-7;-16;1
43;33;-52
11;0;6
-11;-6;4
4;-12;2
-4;-5;-12
2;5;8
-5;-1;1
7;3;1
-7;2;5
4;0;0
1;4;9
-4;-8;-16
0;-1;-4
-2;-3;4
3;4;4
-1;-1;-1
1;1;5
-2;0;-4
-2;1;8
4;-11;-19
-5;-7;-14
5;14;-3
0;-6;-11
-1;-1;1
-1;3;-7
3;0;6
-5;-1;4
1;-1;-5
0;1;7
-4;-2;-7
2;-20;-3
-5;-20;-27
-5;12;-15
0;28;33
8;14;3
3;2;-14
-1;3;-6
3;-6;-6
3;-17;-11
1;12;-3
4;11;3
3;11;13
0;-5;7
1;0;1
3;-18;-3
-1;-20;-4
-1;1;-2
0;-6;-12
-16;32;16
-2;-8;-6
-32;-22;14
6;-10;5
14;-8;-11
-4;33;30
1;-18;21
-6;-8;-2
0;12;8
-2;1;0
7;13;-8
2;1;5
-11;11;-10
2;-9;9
-6;-16;-4
-4;12;8
13;-39;-14
13;36;-14
5;64;-25
-5;-10;-8
-37;-183;317
26;188;-303
8;-31;15
21;-41;19
-12;-67;36
-64;22;-20
14;57;-46
2;6;9
8;-14;-13
43;-31;45
14;68;0
-16;-8;-25
-14;4;-18
-1;-52;19
-9;23;-20
-42;-20;193
2;26;-154
25;12;-48
41;-8;22
31;-25;75
-31;10;-67
1;35;8
-4;-12;10
14;-20;9
0;-9;-29
17;-30;-8
-38;4;16
-42;32;-1
8;53;-22
11;-23;-5
20;-24;10
22;-29;35
6;-18;25
-25;21;2
-73;-45;-76
48;108;27
5;41;-18
-9;-7;-20
62;-154;51
33;-27;23
-94;72;-26
-14;58;-47
17;38;4
-1;-18;-4
45;-74;16
39;-57;55
-57;30;100
-96;17;-206
59;94;33
16;16;24
-27;-13;-25
64;-168;22
-16;-1;164
-47;78;-188
14;76;-8
6;12;5
10;-40;5
49;-59;30
13;-63;47
-112;9;20
-1;110;-110
49;46;20
-12;14;6
-5;-60;10
91;-164;-30
-82;86;145
-23;74;-151
18;43;7
0;-12;-1
47;-75;7
34;-48;37
-38;19;115
-94;-9;-146
20;111;-33
34;14;20
-7;-12;10
31;-98;17
59;-74;28
-106;72;5
6;71;-70
9;53;-7
9;-44;3
34;-74;16
37;-63;50
-64;30;94
-74;49;-183
39;91;9
18;-1;33
-20;-25;1
66;-158;26
27;-46;60
-103;127;-92
18;75;-15
0;21;-7
18;-47;11
56;-81;30
32;-58;241
-131;41;-266
2;88;-39
35;50;21
-7;8;25
-16;-53;-9
87;-95;36
-66;27;52
-24;41;-98
14;65;-6
0;-5;-1
24;-52;9
36;-58;34
11;-44;198
-110;52;-247
15;81;-10
31;20;25
-11;-8;17
-11;-36;117
80;-72;-109
-80;23;24
-19;26;-54
25;73;-1
1;-16;4
39;-53;10
28;-43;32
-8;-37;158
-127;31;-222
49;87;2
31;19;43
-17;4;-25
15;-42;-16
74;-100;53
-110;72;39
-22;-12;-104
42;72;17
17;-5;18
37;-26;-2
8;-59;13
-4;-38;21
-49;2;84
-46;61;-158
37;85;26
-3;-9;13
-12;-29;-9
78;-109;9
29;-103;55
-118;135;-39
11;92;-35
-4;12;2
31;-50;5
60;-63;19
8;-50;31
-84;47;91
-53;47;-143
33;79;-19
17;-13;30
1;-42;-20
87;-93;41
-71;2;42
-55;44;-91
25;81;4
3;2;12
40;-48;12
46;-74;9
-2;-27;26
-58;44;133
-67;28;-219
41;86;8
2;-8;31
-8;-20;-1
77;-162;33
-16;11;85
-79;84;-136
18;61;3
4;28;1
25;-45;4
51;-74;27
-7;-57;47
-40;66;43
-73;17;-151
42;94;7
21;-5;40
-29;-32;-11
93;-152;64
-5;-44;27
-109;138;-94
11;51;-13
13;38;7
18;-36;6
45;-69;15
21;-53;65
-43;20;40
-92;22;-166
53;104;19
10;13;33
-31;-20;1
73;-157;32
25;-67;172
-96;139;-216
10;69;-5
5;39;-3
15;-54;15
46;-65;14
25;-35;20
-31;28;184
-106;10;-241
38;98;0
17;18;21
-7;-39;-3
92;-170;35
-12;-3;80
-112;104;-123
17;68;-7
13;20;1
30;-38;10
46;-67;15
12;-66;76
-88;44;-18
-51;61;-100
46;77;15
15;-5;13
-6;-48;-15
84;-112;40
-36;-36;87
-73;108;-133
13;70;-8
3;10;10
24;-44;7
50;-81;37
22;-46;141
-104;39;-138
-36;78;-69
47;68;28
18;-18;19
-22;-42;-28
74;-110;36
-14;-35;121
-74;101;-156
20;78;-2
-4;15;3
17;-57;0
41;-84;34
49;-23;61
-132;20;-56
-22;110;-66
43;43;26
2;-20;18
2;-79;-8
103;-95;42
-109;64;-3
-17;65;-61
20;64;6
1;-35;15
39;-79;-1
61;-54;11
-15;9;260
-138;20;-304
26;141;-1
19;-13;26
6;-30;10
76;-172;58
-60;12;50
-49;90;-136
26;95;6
3;10;8
29;-68;9
50;-91;19
27;-40;201
-139;39;-227
-2;120;-26
33;42;23
8;-16;13
-28;-87;-12
93;-160;59
-79;104;-43
-3;117;-29
10;48;6
8;-41;10
28;-117;-8
70;-49;42
-50;53;134
-117;51;-211
35;89;15
29;-10;32
-20;-48;3
60;-110;3
-40;-49;165
-21;117;-187
18;88;-7
2;10;9
20;-79;5
49;-87;-5
14;9;88
-108;6;-39
-30;122;-71
42;28;8
4;-26;23
-9;-90;14
94;-99;24
-92;87;-6
1;77;-55
12;59;-2
5;-48;11
31;-94;15
67;-49;22
-73;21;104
-89;77;-176
29;91;22
29;-19;20
-18;-61;-2
85;-91;28
-96;6;92
-7;71;-137
24;80;-1
10;-13;10
28;-76;9
50;-66;8
13;-17;204
-150;29;-230
18;130;-1
-4;-20;7
48;-98;11
-29;-107;152
-36;91;-171
3;99;-15
11;53;1
16;-61;16
53;-84;-18
21;-54;54
-83;36;99
-63;58;-184
43;78;21
25;-10;36
-27;-29;-6
68;-115;10
-21;-89;76
-58;129;-90
18;100;-15
1;18;6
21;-51;6
38;-101;0
46;-38;157
-119;36;-164
-9;104;-29
30;49;17
-6;-19;26
-32;-40;-12
89;-79;5
-76;-21;115
-4;64;-124
24;99;-12
-4;-9;8
27;-82;8
56;-77;15
-2;18;167
-135;1;-192
18;133;-13
44;4;26
-13;-18;2
55;-101;16
7;-125;26
-73;114;-33
3;94;-35
13;44;2
8;-50;12
35;-67;0
53;-78;57
-86;51;19
-64;42;-97
38;98;25
21;-6;9
-19;-57;-21
71;-93;8
-50;-71;102
-34;102;-118
19;99;-5
6;27;3
6;-61;12
37;-86;13
50;-58;198
-113;63;-215
-16;80;-25
36;42;27
-2;-3;15
-48;-43;-25
98;-98;24
-34;-95;50
-51;135;-72
16;94;-9
7;15;9
25;-39;4
33;-96;12
39;-45;142
-102;28;-156
-12;60;-6
16;70;38
-7;22;-16
-11;-14;-12
48;-147;-14
-10;-70;116
-33;118;-108
5;87;-15
13;29;6
15;-57;2
37;-72;-1
41;-56;116
-118;13;-91
-28;90;-43
45;61;50
2;15;-4
-29;-38;-18
64;-116;-14
-11;-57;119
-42;101;-105
11;89;-18
0;21;4
18;-61;5
58;-83;8
23;-42;183
-122;31;-178
-13;109;-33
40;37;25
-5;-15;15
-23;-41;-31
88;-72;35
-62;-32;57
-28;68;-77
23;84;-14
3;0;5
27;-61;0
43;-76;13
27;-25;168
-146;28;-182
14;112;-15
37;24;35
-10;-13;-5
29;-84;48
49;-105;-30
-101;64;12
8;87;-55
16;57;2
9;-29;5
34;-72;3
33;-65;48
-35;29;80
-91;3;-164
48;96;33
16;26;22
-38;-9;-8
47;-101;23
37;-95;-26
-59;74;68
-14;86;-93
7;56;1
9;-41;8
37;-77;-2
39;-64;60
-57;43;16
-73;16;-106
39;101;19
14;4;29
-31;-28;-8
67;-146;15
14;-46;38
-76;112;-57
6;82;-17
9;31;1
19;-42;5
35;-87;9
26;-45;60
-56;53;22
-66;15;-115
36;82;16
7;11;34
-32;-13;-12
68;-144;-15
8;-59;10
-64;103;39
10;93;-54
8;30;-6
16;-45;6
38;-79;8
25;-64;74
-95;45;-20
-37;79;-87
47;58;26
16;-20;27
-31;-32;-27
85;-80;37
-52;-75;9
-54;121;-39
23;66;-18
11;4;0
29;-49;1
41;-65;27
24;-36;156
-113;30;-170
5;78;-34
32;48;26
-18;-6;10
-34;-42;-13
105;-77;37
-58;-11;33
-40;53;-74
17;80;-9
12;-8;10
38;-48;3
37;-63;26
5;-57;146
-131;40;-172
18;99;-10
37;37;9
-12;-6;11
-11;-56;-4
90;-108;0
-85;38;96
-11;64;-121
19;70;2
11;-14;4
24;-57;2
40;-72;20
5;-26;187
-121;54;-196
4;72;-22
39;32;17
