X;Y;Z
-17;-9;-43
19;-25;48
10;50;-4
7;-10;-1
-31;-79;-18
18;79;10
-33;2;9
19;-32;7
7;-2;-5
-14;18;-4
-1;14;0
9;0;4
18;-18;-13
-28;13;18
44;-70;56
-21;-14;-59
8;32;-51
23;9;-12
8;2;-7
-5;-24;3
4;-65;16
-40;13;-7
-17;13;11
-18;-4;-12
8;16;1
-8;-5;11
-1;-6;-1
-2;6;-2
-6;4;0
2;6;-11
20;-27;-8
40;12;10
30;-15;-1
-33;6;-20
-46;-30;-14
-26;-14;-14
10;14;-10
38;3;-18
-7;-135;-1
-3;169;-24
-18;-35;23
9;-18;-7
16;15;-5
3;-3;-3
85;-149;-212
-271;314;226
222;1;-253
-60;-108;279
61;-115;-49
-326;6;-224
483;-35;376
294;-35;43
-514;-215;-123
197;380;-209
-235;195;274
67;-83;-240
-55;89;-229
-133;-41;23
-399;-113;-49
494;-153;378
-18;233;226
-5;-34;-95
-157;-112;-246
-187;-4;-357
194;20;649
314;-93;-189
-20;-140;701
319;147;-850
429;342;239
-798;-340;-498
57;51;452
-36;-16;-48
-19;-2;-5
0;-1;-5
-250;386;-360
5;-949;787
80;737;-306
975;-616;662
22;-315;168
-808;1089;-891
-9;-18;-990
-296;38;819
281;-425;137
-3;77;-13
26;-19;-22
2;25;-1
-12;-1;10
-9;4;25
-14;-6;22
-20;1;11
-19;2;-5
-14;11;-1
-8;1;2
1;-1;-1
-11;-7;3
7;8;0
3;18;-5
-1;-11;-4
6;-14;-2
9;-11;4
-7;4;-8
-7;21;-3
-20;-14;-18
15;-7;-10
45;-6;8
2;-2;14
-10;-3;-7
2;-5;-12
10;-2;-2
1;-2;-8
1;7;-8
6;9;-8
5;-4;-20
20;-29;23
-30;23;1
-6;-10;-3
9;-7;7
13;7;-6
-1;3;-7
-8;-8;9
-3;6;-1
228;170;-412
-364;25;502
-388;-46;-477
500;-102;471
72;-109;99
-66;-61;-32
138;-192;-38
-210;189;40
-214;-11;-257
-108;333;-31
553;-744;748
86;869;-592
60;-124;-263
-258;-209;250
-38;4;-23
-7;-7;1
-278;657;-381
642;-884;-133
-175;786;-74
250;-410;-25
594;-620;1509
-857;279;-526
856;122;-617
-1762;-458;434
774;445;-137
-16;76;-56
2;20;-6
-5;8;11
-6;-8;18
-13;7;32
-18;8;18
-1;0;5
-3;-1;-1
2;-2;1
-7;-1;7
-9;3;2
-15;-6;-6
1;17;-7
4;9;-2
0;-15;0
7;-9;-5
18;-10;-4
5;1;4
-12;-1;-2
-2;-2;-8
-6;7;-5
18;-3;5
-5;-4;2
-12;-9;-11
16;33;-28
-9;-43;25
43;27;-13
-9;-31;-3
-18;5;-12
4;6;-10
3;12;-5
18;-25;0
-27;17;6
-8;-4;-13
0;-13;4
12;11;0
1;-8;-8
-4;3;3
118;-152;258
195;162;-350
-783;-22;-76
410;-4;54
8;264;51
300;-197;33
-402;84;-239
22;-74;85
-239;18;-51
215;-127;196
257;223;36
-48;-371;-188
43;291;51
214;-4;150
-416;-106;-200
-121;-8;251
129;252;11
267;-145;193
-175;-386;307
-268;-338;-367
529;1074;-848
-230;-432;626
-50;-10;15
21;1;-5
17;1;10
-234;-83;439
-492;597;-388
1114;-1386;721
-294;1009;-742
789;-895;388
-694;499;-978
-38;108;1572
-581;338;-1289
421;-235;292
-12;51;-35
7;-12;17
-13;27;4
1;-20;-5
-3;1;-8
-3;-9;9
21;10;3
-26;-8;-13
375;143;-86
-477;-405;184
208;299;177
541;-43;-36
-278;-118;53
-488;28;-361
223;-75;109
-393;216;-52
55;-79;-43
315;-96;-51
-255;0;393
159;309;-550
23;-153;262
6;-32;10
-21;33;3
-31;-1;-4
9;-12;4
6;-27;1
-4;8;-11
-1;-4;-4
1;4;0
97;83;33
-99;-74;-37
4;-3;1
-1;-4;-5
11;-1;0
39;0;-2
47;5;-4
70;211;-10
-222;-182;11
64;-46;-10
27;14;25
-4;-3;-6
131;36;-106
344;-426;422
-909;770;-1230
402;68;380
816;-757;897
-344;576;-800
-811;-173;458
706;-484;433
-576;341;-369
394;96;-224
129;23;-80
-625;-43;475
125;53;-41
259;-203;-269
-47;134;67
-13;4;-1
-7;2;-3
-36;-7;-8
-14;-28;-8
21;12;3
7;-1;-4
-5;6;-6
-12;-19;6
-34;33;-2
25;-22;-1
65;-2;-3
-263;-474;425
266;450;-440
-80;18;1
60;7;1
17;1;15
6;-7;0
-7;-1;5
19;6;1
-199;45;-60
91;84;-45
327;-510;856
90;747;-1161
-820;-69;188
773;-393;513
-291;400;94
235;-278;92
-387;-95;-551
-19;-38;273
378;319;-155
140;-153;-248
-297;-24;-51
-54;-16;230
3;-29;27
-23;5;-2
23;-50;-17
-27;40;29
-15;13;4
-16;19;5
-19;14;4
-2;11;5
24;-9;11
24;-11;12
-12;-9;-3
-24;2;-8
2;-1;-3
10;-4;0
-2;-1;-4
-4;-3;5
2;4;-7
-7;-11;-5
8;10;4
5;-3;-9
1;-5;-1
26;2;8
10;-6;0
-9;10;-5
-21;-5;-5
-11;-23;-12
22;-5;-4
13;7;-6
-7;-3;-4
2;23;-7
32;-19;-22
-29;30;22
-12;-34;-13
1;0;3
12;-2;8
-3;5;-7
46;-262;-128
-4;303;169
70;-38;-126
-203;-92;247
373;308;91
-291;-106;-347
-78;-70;47
-285;81;56
371;-325;86
-22;92;-93
607;259;689
-242;-93;-373
-505;120;-533
9;-283;353
162;344;-325
-41;-53;279
376;-185;-198
-482;-36;-178
22;-103;34
80;181;266
-362;-27;83
504;-95;-55
-162;440;-771
805;-71;654
-826;332;-269
862;-411;711
-1270;-215;-530
273;123;286
458;-154;-34
-262;28;-101
8;15;6
-11;-10;2
-22;-23;2
52;23;-3
28;-38;-12
-24;23;-2
-40;16;4
-40;23;8
-10;-1;6
10;-37;6
-7;15;-6
4;2;-2
3;7;-3
-11;-12;0
9;-2;3
-1;13;-2
-9;-11;-5
20;11;4
-4;-14;4
-12;-1;-6
29;0;-10
31;-9;-6
0;0;2
-3;2;-5
-1;-2;6
-3;-12;1
-4;13;-15
-488;306;-772
-16;-341;698
423;-73;-47
175;317;207
-81;-1;-228
-264;-72;34
166;-412;23
-93;454;-475
4;189;33
272;-465;560
-724;127;-179
434;-354;531
433;653;-330
-351;-92;-960
137;147;592
-116;-397;151
-704;156;408
329;597;-1042
406;-202;-221
398;-766;1366
350;-302;-205
-620;818;-399
-578;-43;225
509;-273;26
-25;-50;13
32;67;-13
-1;-11;-3
-4;20;4
-18;5;13
-8;5;14
-12;5;13
-21;-5;5
-21;-16;1
13;14;1
14;12;-4
1;2;-5
-9;-14;-1
-1;-5;5
0;-2;-6
3;6;-2
-15;0;-8
-8;-6;-5
42;-10;-3
6;14;4
-12;-22;2
4;9;-9
-4;-4;-5
11;-22;-5
14;8;-9
5;26;-2
-9;-14;-6
45;-40;20
-30;42;-16
-18;-14;-4
126;44;298
-271;-20;-340
124;48;116
-40;-329;385
-229;136;-353
-181;386;44
-37;-18;-398
241;28;-468
-41;144;167
-276;354;205
502;-652;737
227;220;-641
-463;-325;713
646;-968;812
-790;1770;-1801
222;-886;366
664;-691;969
-429;741;-574
-74;-35;16
-12;9;-11
20;-15;22
-4;3;-9
-13;-4;11
13;-5;-3
97;-109;159
-101;115;-167
4;-7;-6
18;4;26
-13;7;-14
277;-81;127
-563;44;-383
345;-24;-93
-404;191;85
195;-225;677
49;-53;-735
422;-101;700
-163;552;-673
-74;-280;248
-191;33;146
336;-70;-13
-301;-18;-91
330;116;74
-241;-57;-148
-9;-30;82
-33;35;-7
-19;-24;0
-8;-26;-2
7;-2;-1
7;2;2
-2;1;-6
0;6;-3
17;19;-5
18;-6;13
-29;-8;-5
-32;-2;-12
41;-7;-5
39;-5;1
2;5;15
-51;-2;-12
-16;1;4
33;3;-8
36;24;15
-10;-31;-11
-43;2;1
18;-4;5
-3;3;-1
-11;50;-56
-207;33;-249
409;-189;518
-547;310;-387
741;-175;398
-212;-227;83
-598;190;-412
569;54;235
130;132;43
-332;-192;74
241;73;-305
-301;-167;23
351;286;-130
-215;-206;163
-31;27;1
-56;25;5
-26;4;10
7;15;-3
31;-7;6
14;-31;8
1;-10;-7
-5;-6;-15
1;-4;-4
2;10;3
-6;-4;0
-7;11;-2
11;-8;-2
5;11;-23
-3;-8;28
3;3;-32
-52;-60;184
89;22;-141
-45;30;-21
2;1;-11
86;-5;7
-4;8;-8
-191;150;-27
103;-174;25
55;11;12
-14;5;5
472;-383;-52
-816;739;-259
435;-480;382
-433;-297;-265
144;791;-143
-213;-12;-57
707;-517;540
-338;-127;-72
-126;511;-438
-74;-225;27
296;-272;145
-92;299;104
148;51;165
-120;-74;-79
-21;-16;-11
-9;27;2
-19;-11;-4
-7;-1;1
12;12;13
-2;-5;12
-9;-13;6
-10;0;11
-6;23;6
7;4;15
22;0;-1
0;51;-8
-11;-32;17
11;23;15
43;54;12
14;-9;-4
-25;20;0
-26;-403;219
81;402;-503
-531;-312;187
78;257;-254
526;-110;491
-189;84;-175
58;-20;23
-14;-4;3
5;-13;-11
0;-14;-3
5;12;-8
-2;-1;-1
1;-11;-2
-1;10;-2
3;9;-2
8;-10;1
4;-10;2
0;5;0
-1;16;4
-4;19;3
-12;23;-1
-19;-12;7
-11;-22;3
-5;25;-5
-14;7;9
-9;-18;17
-6;-2;2
-4;24;-12
8;-3;-13
6;12;-9
13;-5;5
3;-13;8
8;39;-13
29;-53;28
-7;13;-11
-17;30;18
53;-24;-5
-22;26;-19
-5;-16;12
-2;-21;15
51;108;-25
763;-830;530
-855;835;-630
68;-121;88
118;15;-3
-252;-52;461
104;75;-421
-51;-6;-37
-2;2;15
37;-3;6
-6;13;-6
4;0;3
93;180;-11
-89;-241;219
-18;91;-196
-135;47;13
158;-321;29
-132;267;53
-348;-110;-102
659;-65;230
-198;131;-228
13;-4;-2
-7;4;0
104;146;118
-312;-296;-211
-22;184;274
234;190;-372
26;-190;182
33;-69;-8
18;32;-41
-47;-20;34
-24;-4;-12
-37;-36;-24
-15;-29;-14
30;0;-6
19;3;-14
12;-3;-20
-9;-36;-12
-24;-9;12
28;20;-21
9;2;-1
-19;12;1
-7;5;-15
-494;57;-94
422;99;138
187;-198;-26
2;-253;79
533;-238;129
-652;526;-238
37;1;12
-77;145;199
-242;-64;-538
204;-153;475
267;-296;560
81;94;-236
-53;167;-187
-1;294;-651
257;-273;446
-95;396;-42
-337;-232;39
-205;-257;-454
-71;210;78
23;161;-25
192;-284;585
133;80;-826
-231;264;708
-239;138;-392
-64;-201;348
419;-23;-216
-65;-61;-277
-17;-120;-2
441;123;230
-216;75;20
-219;-348;210
204;151;125
38;-544;261
-217;194;57
356;165;-488
-490;401;-189
-9;-120;-87
507;-176;-67
-272;210;850
-381;-159;-644
347;-21;491
-216;46;-95
147;-286;-142
258;204;-134
115;35;41
50;-382;171
-109;134;-105
205;326;370
-580;364;-289
-123;-458;187
386;63;79
-758;374;-716
1080;-242;588
-684;-226;-593
258;353;157
-163;-229;-108
577;-421;1108
-276;358;-574
-248;-147;23
238;3;-941
-478;-98;411
353;55;453
347;408;-132
-417;-175;-119
21;-43;-22
1;41;13
4;-11;-6
1;-20;6
-16;2;-7
8;22;2
1;-20;-3
-3;6;-7
-2;-4;1
1;-2;-7
1;5;10
5;9;4
-117;-121;32
263;-56;-77
-417;339;389
451;-273;-123
-13;-227;94
-242;503;-108
-128;-60;-668
1;-553;498
281;628;50
-92;-790;227
-506;737;-916
482;-211;956
-35;-96;-221
493;-58;177
-112;-38;79
-341;374;-590
441;-49;260
-223;213;20
-217;-300;299
397;-251;-252
-348;240;177
-229;173;-395
779;-298;84
-723;-59;-222
1063;-288;858
-795;559;-599
-272;-312;-419
225;465;105
-315;-274;141
-148;-159;237
38;70;-47
843;119;-38
-596;170;-54
249;-181;-719
-782;-83;619
893;78;-33
-92;-223;397
-269;316;-470
283;-11;185
-222;-45;48
16;9;4
26;-1;-7
5;1;7
2;-2;-3
-2;-4;1
-5;2;-1
-3;-6;-4
-9;3;3
5;1;-8
-8;-13;19
11;9;-21
-3;6;9
-437;786;-373
625;-850;646
-88;137;-375
-93;-91;415
-38;-152;-496
-139;279;521
152;-279;-996
93;44;1045
161;115;-230
-420;-93;86
312;210;-108
-503;-169;-573
22;330;135
15;-355;-181
217;60;312
364;-124;157
-276;530;-558
-84;-338;436
51;-248;428
11;232;-598
-158;138;-168
671;-131;602
-939;460;-660
-80;-407;226
157;-92;307
267;-227;-299
375;30;520
-290;112;-49
-381;395;-253
439;-697;35
-471;613;-386
375;-229;109
-169;-297;738
220;-5;-512
217;387;273
-264;-63;64
351;-175;-473
-651;8;43
345;176;180
2;-26;-3
11;-28;8
-7;1;2
6;21;-6
13;5;-11
-5;-18;-2
-10;1;5
4;9;-1
3;-1;-7
5;-94;-5
7;88;8
-8;10;0
-7;-9;1
4;12;-9
1;-12;10
4;-2;0
-5;-5;-11
-72;120;-195
-125;-201;245
-152;191;-91
590;-458;571
-297;443;-732
498;-363;725
-504;326;-311
326;72;117
5;-221;341
-138;-333;-175
390;258;-176
-868;20;-591
160;172;221
-118;29;-26
662;-491;244
290;244;-138
-606;204;429
551;-201;-215
-670;106;242
404;53;-115
-231;-62;-474
-185;213;199
70;78;-613
340;-395;580
-242;49;61
-242;78;-292
206;8;244
-29;-9;-72
86;-258;-320
-383;80;600
510;82;38
-272;232;94
-420;9;17
775;-271;-338
-383;232;-49
35;-48;-42
32;0;-2
-3;-12;-2
-3;16;-2
-5;-2;-4
4;6;0
1;-5;0
0;-2;0
0;2;-2
7;0;0
-5;-4;1
-11;269;-10
13;-276;13
-10;5;-8
-4;1;2
8;-5;2
148;216;-299
17;-394;-12
170;89;284
-20;-40;43
-718;144;-665
375;-380;911
-331;472;-8
425;-270;76
2;251;-648
-332;158;-107
513;-566;546
-383;852;-445
555;-864;375
-520;57;795
114;609;-1184
-32;-624;158
-24;299;430
69;-516;532
-246;379;-958
859;58;324
-478;-97;223
-387;291;-470
-22;-26;-414
-52;445;91
719;-543;396
-398;268;-21
-344;162;-357
349;-517;647
-42;-98;-62
601;-206;211
-184;97;17
-91;95;86
-23;-99;135
15;15;14
15;12;13
-14;-2;6
-13;6;4
-17;-20;17
2;-85;7
41;66;-11
17;68;0
-11;-5;7
2;-7;11
23;-25;13
-26;-21;-11
-50;-10;-29
20;-4;-11
116;-27;-4
11;14;-8
-68;32;-19
-9;-9;3
33;-7;8
6;15;4
-13;-26;-7
-13;-2;-21
304;-71;634
-420;247;-661
728;-260;571
-696;54;-441
42;98;-36
-18;-7;14
-31;-35;14
0;-7;-5
7;33;-3
11;1;-8
6;-13;-4
6;-7;-6
36;-31;-25
0;1;-6
-14;1;-5
-3;10;-8
4;-8;-11
8;-6;-5
1;4;-4
-4;-9;4
16;14;1
-9;0;1
-4;3;3
-7;18;-15
0;-16;2
-2;-11;2
-4;9;-22
1;-11;16
7;3;7
-7;-49;5
-8;61;-13
15;-20;8
-144;95;-394
249;21;288
-146;-110;54
118;-35;-63
212;-263;410
-317;483;-706
59;-252;404
636;-97;238
-783;194;95
761;-422;-111
-691;499;-616
-142;-288;789
401;5;46
-127;202;-338
-503;13;-279
532;-65;380
250;-231;63
-78;483;-221
-663;-136;-553
579;68;331
22;-101;388
-37;37;-279
336;15;-120
-478;-83;353
-240;271;-173
349;-107;-79
-644;130;-248
300;-365;-280
-578;247;12
724;-453;248
165;78;704
136;-148;-300
-51;153;400
-176;-315;116
-135;259;-464
88;-140;258
263;315;-163
-229;312;251
-374;-490;-480
289;256;199
-69;-232;-252
-286;292;125
646;-170;535
-782;235;-415
294;4;-201
195;-209;313
34;-77;640
36;-285;-790
41;540;-393
-47;-111;355
-131;-115;-62
116;-157;-152
171;-12;479
-390;84;-552
-5;2;-48
410;434;74
-196;-262;288
-30;-5;-121
28;-22;-9
18;6;5
-7;8;-10
-14;-15;5
6;21;-4
-1;-6;3
6;-7;-10
15;-2;17
-14;8;-11
-6;1;2
-4;2;-6
3;112;-14
12;-118;8
-29;7;-7
11;-2;11
3;-4;-3
373;-284;89
-98;393;-120
-29;114;125
-495;279;-709
66;-1023;351
285;-312;947
-860;1386;-949
876;-406;242
-144;-270;-110
-506;543;-93
921;-274;-217
-508;-218;37
182;180;206
-77;109;154
131;-225;-29
-550;109;-78
2;369;129
852;-425;-139
61;-161;173
-832;208;-190
-16;-379;602
29;321;-604
395;-336;274
-251;372;-206
82;-278;-249
128;-42;50
-105;292;299
69;-36;10
7;-30;8
9;15;-1
-9;-13;-5
-4;7;1
-2;8;-3
3;2;0
3;-6;0
3;-2;-2
-3;9;0
0;-8;4
5;1;-6
-7;-10;-6
200;-113;106
166;-17;-54
-215;-32;-238
-253;76;348
260;411;-376
45;-622;-80
-970;475;653
1135;-344;-425
-559;159;208
247;-691;282
-430;938;-493
164;-242;247
899;181;-334
-756;228;-234
137;-392;312
424;-263;-92
-550;299;-206
529;-94;393
-515;199;-639
-541;-57;254
720;-154;552
-417;180;-260
280;-76;-362
106;-349;259
-255;130;-101
-93;390;91
208;-179;195
1;-34;-11
14;-11;11
-12;9;8
19;9;4
12;-15;-8
9;-16;-3
-8;4;-1
-18;14;-6
0;-3;1
4;-3;4
2;1;-9
-1;4;-3
10;1;7
-12;-10;-2
-1;2;-5
5;1;5
4;1;-4
-436;84;-327
482;-350;410
-116;404;28
-83;-75;-393
371;213;272
-147;48;-357
-10;-145;-43
139;300;-117
-387;-443;756
517;-768;68
-349;1073;-243
268;-395;-315
-400;193;73
152;197;-273
-741;577;95
937;-1034;574
21;408;-211
-149;-283;-2
29;-24;-196
130;-261;-199
-636;-338;291
133;514;-338
213;130;655
48;-184;102
-356;50;-722
584;216;998
-119;-311;-467
-133;116;2
382;129;537
-402;-48;-686
-5;-16;27
30;54;39
-13;-14;15
9;-3;17
-17;35;-8
-29;-8;-19
3;0;26
6;9;19
-18;0;6
-13;3;-14
98;23;38
-8;-22;5
12;14;-12
-23;8;-1
-38;22;15
58;2;-14
-23;-16;-14
13;-19;-10
-25;71;10
-31;-94;0
-36;13;7
31;24;-6
17;4;-12
19;-10;-1
-99;130;-72
-72;197;-364
477;-468;800
-170;100;-286
-128;46;-77
-26;-21;-5
-4;-14;7
5;-28;10
-5;4;0
-9;-4;-6
-6;6;-12
1;10;-5
8;-1;-6
4;-6;-1
9;-2;1
2;-8;-3
-12;-8;-1
-5;10;-7
-3;3;2
-2;-1;5
2;-13;1
5;1;-3
-2;17;-3
-4;-7;3
1;-9;2
2;-2;-1
1;6;-3
5;1;4
1;8;-5
1;-8;-5
-3;9;3
-2;-8;3
0;-9;8
-12;-11;17
-2;19;-6
-14;24;2
10;4;-10
12;-13;0
5;36;-5
-20;-19;5
16;27;2
-3;-2;6
-5;7;-2
1;-2;0
12;-19;2
-15;22;4
2;1;1
-7;4;-1
29;35;52
-21;-75;-50
-7;41;2
4;4;-14
-320;-145;85
511;135;-265
-244;25;220
20;73;-102
-134;-204;92
-5;22;-7
190;87;-20
-188;-64;64
164;50;-62
13;16;4
5;-11;-6
5;1;2
687;-11;120
-711;84;-88
55;68;3
-98;-126;125
189;-97;-72
18;54;-139
-151;5;-76
186;-11;327
-375;233;-345
258;-159;150
-92;-1;-122
-47;-138;118
-164;150;-69
424;159;-6
-147;-134;-65
131;68;321
-225;192;-376
98;-417;221
-28;73;-55
-19;-13;-15
20;-26;39
23;-30;8
-14;-18;-50
-22;-23;24
-30;44;-33
-5;-14;36
34;22;-20
-43;-7;-3
805;36;325
-706;93;-230
-157;-129;19
-148;-28;-135
499;-56;-70
-112;109;43
-168;-57;18
-6;-27;9
-8;36;12
18;-1;4
12;-5;4
5;7;-7
-16;4;6
-14;5;2
-11;12;-5
6;6;2
7;-9;1
17;-8;-1
-6;-3;5
-6;6;0
5;-4;-7
3;-10;-6
1;8;-14
-6;-14;-4
20;33;9
5;-46;-14
14;-2;8
-2;15;-15
-29;-48;-18
6;0;-10
8;20;-15
2;-12;-2
16;3;-16
-16;2;12
-8;1;-18
-8;-2;0
416;-139;-37
-301;297;57
-161;-75;-119
109;-146;71
-332;-14;303
687;128;149
-448;-63;-443
281;183;267
-466;-161;-314
148;73;-34
67;-35;25
48;-141;-46
-294;152;51
357;-73;156
-141;-57;-60
419;-108;224
-283;41;-156
-26;251;-41
-316;-305;-181
-7;301;123
531;-118;284
50;-1;-405
-482;85;636
-458;-313;-785
673;146;60
-512;216;404
677;-191;116
-811;245;-308
250;-60;470
344;-157;-502
-41;30;10
451;98;-13
-479;-789;-52
63;652;186
-36;25;-131
-14;43;59
29;-62;-52
9;50;-6
-8;-12;-5
-1;-10;-6
-1;21;31
-3;-8;20
-6;-13;-10
-4;-22;11
-1;16;9
-14;-10;20
5;23;-29
-30;-7;2
13;8;2
-15;-8;-7
15;21;5
3;-6;-2
-6;-21;3
-3;24;-4
-13;-3;-2
-1;-6;3
2;4;-1
7;-4;1
-17;3;-18
21;-19;5
2;-2;-5
-4;23;1
-10;-15;0
7;-14;1
26;13;-7
0;-14;-6
10;10;-2
-23;12;10
29;-7;23
13;-20;-10
-2;12;-8
-12;11;4
-17;-20;0
2;-7;-7
8;12;-11
0;4;-2
-4;4;-5
14;2;0
-4;-5;10
-7;-3;-2
