X;Y;Z
-9;6;2
-422;428;120
-213;130;117
325;-179;-150
386;-373;-55
-142;66;-78
-414;477;230
-206;59;39
485;-341;-272
290;-309;48
-292;266;-15
-465;370;200
272;-152;-92
466;-476;-108
-394;360;36
-442;248;181
840;-604;-264
-412;330;39
-287;228;209
699;-608;-172
-632;650;151
285;-189;-150
247;-335;-21
-738;616;241
911;-750;-313
-678;647;165
338;-278;-122
60;-157;-60
-560;443;294
800;-680;-225
-931;778;240
985;-804;-250
816;-711;-359
-857;731;321
837;-797;-377
-805;748;322
897;-760;-299
-929;762;343
906;-725;-318
-1014;872;296
997;-992;-280
-1067;875;261
918;-679;-267
-475;407;115
166;-51;0
345;-355;-161
-807;703;317
990;-893;-237
-1055;834;150
826;-522;-3
-198;-57;-203
-519;614;338
969;-830;-362
-902;630;134
217;26;188
737;-663;-297
-1164;782;191
548;-210;80
387;-492;-293
-978;768;272
616;-347;-71
393;-440;-215
-1010;776;279
681;-325;34
376;-474;-308
-1010;698;214
426;-80;169
692;-717;-273
-917;664;5
-1;228;289
877;-822;-331
-563;359;-122
-474;541;481
874;-724;-239
-49;-91;-240
-977;773;332
630;-317;55
586;-581;-307
-871;637;49
-61;219;329
875;-738;-359
-489;128;-7
-616;686;391
963;-668;-285
-237;-22;-194
-709;584;485
1117;-803;-424
-969;709;137
573;-197;50
86;-383;-291
-724;729;523
1088;-863;-408
-1048;729;148
620;-331;66
-115;-149;-242
-327;438;386
702;-640;-392
-938;842;430
1008;-805;-377
-1047;698;186
838;-538;-62
-425;250;-116
65;102;321
273;-430;-403
-702;677;442
910;-857;-413
-999;941;390
1071;-809;-455
-999;632;306
953;-529;-246
-788;386;73
557;-258;92
-458;135;-140
423;13;217
-212;-93;-236
-23;103;343
-58;-238;-372
172;309;290
-176;-192;-305
293;28;240
-453;184;-152
728;-471;-40
-905;747;296
909;-884;-272
-759;770;395
383;-470;-571
73;151;400
-439;164;-202
609;-469;4
-768;702;197
916;-776;-352
-971;792;486
753;-695;-492
-368;402;461
-66;-78;-410
522;-256;155
-693;522;136
847;-692;-328
-888;759;468
572;-664;-455
-83;338;426
-448;138;-228
813;-510;-238
-911;692;504
492;-582;-447
200;5;144
-643;665;282
533;-714;-483
129;120;292
-749;573;181
635;-642;-458
144;-96;228
-752;696;270
442;-549;-502
360;-165;139
-779;697;402
468;-535;-482
327;-147;138
-881;696;408
488;-623;-532
328;-16;59
-764;628;385
529;-602;-497
197;54;230
-786;581;266
696;-694;-524
-77;111;389
-508;490;47
657;-636;-442
-138;293;429
-602;390;13
730;-733;-451
-89;312;350
-581;413;135
700;-680;-438
-233;303;365
-408;318;11
724;-640;-431
-500;356;500
-65;139;-230
591;-558;-252
-690;682;533
91;-210;-419
634;-466;-112
-396;460;504
-266;223;-123
290;-530;-425
339;-101;112
-565;423;503
-239;297;-213
457;-525;-400
385;-234;50
-437;436;471
-420;281;75
201;-346;-487
491;-363;-69
-20;139;211
-552;394;382
-35;197;-217
150;-446;-327
485;-249;-89
0;37;286
-561;427;340
-120;187;-162
173;-282;-320
429;-373;-104
286;-90;3
-472;356;436
-372;414;94
63;-40;-208
255;-408;-318
314;-267;-5
101;24;-32
-345;281;429
-387;335;203
21;68;-136
99;-261;-303
269;-293;-188
337;-175;17
-54;113;91
-237;176;265
-398;271;203
-13;140;-164
4;-130;-213
429;-447;-108
288;-16;-176
-615;293;552
-19;233;-23
726;-566;-610
-971;581;765
675;-667;-520
-169;385;256
-383;325;8
601;-578;-287
-21;108;157
-530;395;290
164;-97;-216
481;-419;-304
-104;105;383
-644;467;205
341;-415;-460
190;-416;-239
-388;704;757
53;58;-354
387;-477;-277
-30;13;243
-534;409;376
168;10;-317
437;-413;-308
61;-26;22
-447;343;539
-190;212;-98
391;-425;-368
317;-197;-81
-645;404;601
87;158;-242
285;-450;-415
119;-40;163
-535;383;553
366;253;-327
259;-690;-518
-474;413;598
-35;-96;-28
286;-241;-436
-259;410;768
144;-346;-633
6;145;164
21;-158;-50
-487;352;541
903;-476;-827
-723;518;612
533;-510;-584
-615;511;653
753;-575;-936
-421;526;796
192;-235;-416
-37;-348;-238
-473;750;1059
633;-864;-1291
-530;870;1427
-242;-81;-250
145;-35;20
626;-367;-833
-295;53;229
-94;62;297
90;72;-234
484;-341;-281
-813;543;650
558;-532;-603
-12;204;319
-501;351;189
468;-465;-469
119;-53;-102
-563;423;702
129;90;-386
418;-508;-328
