X;Y;Z
-25;-33;81
-31;44;-6
88;129;-74
125;145;-73
-9;93;31
-79;30;141
-112;-72;-16
70;-81;-100
90;-98;-30
-35;12;-19
-105;-33;85
45;91;-7
41;-32;6
-39;53;-47
-46;-5;96
-86;-131;-2
-8;-22;-43
62;-84;-15
8;5;42
-39;15;14
174;162;-111
90;108;-5
-88;61;55
-93;16;87
-63;-54;35
51;-52;-162
97;-95;-35
26;-6;-23
-83;-19;83
-71;54;17
76;25;42
-102;-46;0
-111;-98;59
15;9;-104
88;-88;-22
9;-30;31
-26;23;37
60;61;-26
90;135;-51
78;92;-14
-40;67;19
-88;16;136
-6;-105;-27
77;-65;-159
18;-42;12
-43;-73;33
-121;16;76
18;58;-43
33;54;-38
40;46;-14
-35;-42;108
-63;-73;24
-115;-69;-26
82;-107;-58
69;-6;1
3;49;41
12;37;10
126;150;-97
80;98;9
-145;28;103
-70;1;44
42;-45;-148
71;-102;-42
-33;-41;-7
-61;-4;104
-79;-6;23
91;86;-59
18;5;55
-99;-50;22
-126;-52;-1
68;-78;-87
134;-52;37
-46;-16;21
-26;33;19
61;88;-17
57;100;-99
128;86;13
-86;68;90
-132;-30;23
66;-120;-113
79;-51;-13
-74;-40;-3
-102;-43;131
-36;69;-41
116;84;-21
37;1;-3
-117;-67;64
-128;-69;28
45;-19;-121
92;-51;5
38;-37;25
-46;23;46
-49;2;-14
178;139;-87
103;146;23
-75;33;89
-154;-4;31
67;-83;-100
89;-52;-69
25;-52;20
-77;-34;-21
-109;-16;107
82;130;-49
-1;29;22
-121;-89;8
-111;-61;50
110;-105;-62
92;-5;-31
3;-35;60
-93;4;33
44;136;-37
107;64;-81
143;120;17
-111;50;98
-153;-40;12
67;-79;-103
94;-54;-61
-65;-53;54
-115;-20;75
90;107;-56
18;20;6
6;-2;-18
-93;-49;66
-127;-72;21
90;-104;-61
126;-26;15
-79;32;-12
-45;34;49
158;127;-103
99;122;-43
-15;40;75
-63;55;43
-112;-63;43
36;-61;-109
117;-83;-65
-93;-37;48
-130;34;43
148;54;24
-80;-42;16
-133;-78;33
-24;-6;-11
129;-87;-47
46;-79;29
-51;66;-26
-50;1;22
131;143;-60
159;104;-43
-21;76;36
-62;6;118
-111;0;23
6;-58;-130
107;-103;-77
-68;-53;4
-108;22;132
73;70;-49
48;3;-40
-147;-77;132
-114;-54;-7
60;-51;-99
107;-52;-16
30;-10;28
-57;21;40
-33;3;26
132;123;-88
80;97;-38
41;66;57
-135;83;91
-66;-59;27
92;-82;-153
46;-69;-34
-129;-49;74
-71;4;21
77;107;-96
50;-1;71
-89;-42;29
-105;-84;53
22;-32;-78
60;-53;-14
42;-48;42
-32;4;28
57;166;-108
178;161;-39
-54;42;49
-128;34;121
-29;-53;-49
128;-111;-112
29;-48;-37
-74;-75;55
-103;-6;92
44;138;-47
42;4;-28
7;-10;8
-106;-67;72
-130;-63;20
43;-96;-76
151;-9;-4
-43;27;42
-42;-14;54
137;157;-127
95;123;-48
28;66;51
-76;9;109
-106;-28;21
4;-53;-100
122;-91;-59
-30;-32;-11
-122;-32;97
12;80;-15
72;-11;-11
-27;-21;31
-111;27;39
-104;-97;12
52;-37;-86
92;-62;17
20;-25;28
-56;-8;45
84;127;-88
155;169;-81
-74;69;67
-78;-17;107
-26;-75;-49
99;-55;-122
