X;Y;Z
13;-35;14
-19;37;-23
-1;18;44
0;-23;1
7;12;-50
39;-50;57
-30;28;-18
-2;-10;-20
32;-22;43
-21;19;-4
-18;-24;32
13;17;-37
-6;-3;64
2;47;-43
33;-39;-29
-33;-1;-19
20;34;2
4;-30;27
-4;49;12
2;-77;-38
-11;19;22
-13;41;40
5;-4;-56
5;-61;41
-4;45;-41
0;-7;26
3;55;-4
-19;-40;-6
15;-6;15
-9;26;-22
-8;-3;29
11;25;33
-8;-8;-34
19;-69;-58
-10;4;4
-11;13;65
13;37;-28
6;-37;33
-24;-30;37
14;38;-75
13;-15;-30
-16;40;51
13;-52;4
-13;42;-18
-14;-34;3
28;3;9
-2;7;-36
-39;17;26
10;-3;38
28;28;-72
0;-21;3
-14;-37;62
9;32;13
19;-34;-54
-12;9;5
-5;-2;12
5;34;-22
22;-36;-18
-58;9;35
28;21;-11
-4;-48;-8
-9;18;-25
-7;10;23
-1;-5;30
-6;34;-19
15;3;-60
-1;-13;-13
4;7;43
-10;14;21
-5;-43;-52
-9;27;34
16;-22;2
-24;22;-72
5;-39;58
4;17;0
17;-55;-1
-6;51;-9
8;-32;-39
-42;3;-5
20;44;48
15;22;-12
-11;-58;-25
1;20;-57
-10;-94;139
12;107;-108
8;-18;52
15;-36;0
-17;5;-51
-8;-3;48
7;13;-24
1;11;-34
6;-5;40
-1;9;-38
-4;-4;24
12;42;-19
-18;-45;51
25;15;-55
-27;9;58
2;1;21
32;26;-33
-24;-33;8
-6;15;2
24;-7;1
-11;-25;-17
-16;40;56
25;47;1
-27;-59;-43
5;12;-17
-9;-60;173
32;7;-54
-27;3;-108
-3;26;-20
-7;13;54
16;-4;-16
-31;-19;64
8;23;-42
17;-22;20
-40;46;-84
14;-11;91
18;-44;14
13;-52;-61
-3;37;12
15;22;32
-50;-26;-14
43;13;53
-17;-26;-109
10;3;122
0;3;-122
-29;-3;77
18;-1;27
-4;-8;-91
25;-18;24
-18;44;-18
-24;15;23
0;-48;27
9;40;-62
-20;-3;-8
55;-72;26
-30;68;-20
1;29;-15
1;-68;6
25;-1;-10
-26;-2;66
-7;52;-76
19;-34;31
-31;-7;51
6;30;-43
22;11;-62
-8;-33;26
20;-37;104
-41;74;-102
18;-26;-2
-8;14;9
-13;-46;72
15;20;-24
10;-41;9
0;52;-6
-19;-32;0
-41;-9;30
55;20;-71
8;16;-1
2;-33;-4
-25;12;13
-3;2;47
3;-16;-36
43;18;-31
-18;15;-24
6;-10;23
-9;-34;-26
12;37;44
-32;14;-40
-9;17;4
27;-3;33
-23;9;-50
3;-5;39
37;-20;27
-25;-29;-22
-13;34;-38
-11;12;11
3;1;13
4;8;-26
3;-31;47
-1;21;-51
10;0;-7
-4;7;-45
1;23;94
14;-13;21
-17;-75;-3
-10;49;-23
5;-11;44
14;53;9
5;-57;-47
-9;4;85
7;-11;-21
-3;-34;24
-12;39;-5
24;-41;-44
-26;61;-53
29;-36;42
-20;13;27
-5;-14;15
8;-21;-12
11;-37;-10
4;48;-22
0;-4;-24
-9;31;39
-15;-49;4
4;-1;-2
15;48;-1
-2;7;-8
-18;-5;-28
0;-14;-13
14;1;25
16;-25;-19
-58;24;47
16;22;44
5;-27;-69
-3;-33;19
7;19;3
-4;0;57
29;-7;-23
-13;-12;25
-16;35;-25
-6;-25;93
16;-10;-86
4;-13;-1
-8;2;23
-26;27;-11
34;-2;-62
-19;20;-40
8;-33;79
-12;36;22
20;-34;-77
11;-17;34
-5;25;13
-20;50;53
-5;-20;7
-1;-12;-92
22;-13;-15
-17;50;42
1;-7;76
-11;7;-189
-18;-56;134
38;-49;36
-6;99;-28
4;-18;-42
-5;-35;9
9;-26;69
-11;24;-26
-10;-57;20
6;74;-106
26;-9;77
-41;2;-10
17;8;9
-11;-57;-33
0;84;35
14;16;-99
-13;-45;86
21;6;-7
-3;-47;-12
6;-24;-33
-8;5;-2
0;41;-3
4;4;24
-3;6;-52
-39;-63;10
23;-15;40
-5;30;-2
3;24;-18
-7;-34;22
30;14;25
-56;-7;-51
38;16;-10
-9;-19;50
-10;-7;17
8;13;-81
14;-8;41
-25;42;-71
