X;Y;Z
-2;1;-11
9;3;8
-10;-1;0
-8;-1;-4
8;-1;-2
-3;-4;3
2;-4;18
-6;-6;-20
3;8;0
5;13;3
-1;-20;-4
1;18;0
-4;-5;-4
-9;-24;-4
13;19;21
-3;5;-11
-9;-20;9
-14;9;-4
21;19;2
-16;-37;3
-7;-26;21
13;32;-28
69;166;-84
-71;-163;63
9;-11;-5
5;50;13
-69;1;-6
71;-65;14
9;41;22
-35;-48;-49
-53;60;-10
44;-6;41
22;6;-17
-8;-26;6
15;7;19
131;-6;60
-130;4;-78
-10;4;-2
-29;3;20
27;-22;-16
9;20;-7
-7;-3;5
1;-5;3
0;5;-2
-4;-15;-7
-15;2;3
15;-1;-13
-25;22;-24
24;-21;26
8;1;10
7;30;-3
-19;-28;-2
-41;19;110
58;-19;-109
-28;14;1
30;-42;1
-23;43;-55
7;-10;44
-43;-14;13
11;30;18
37;-31;-6
-2;6;11
-5;-1;-21
-47;26;24
43;-20;-50
8;-8;13
-6;6;2
-4;6;-7
6;-24;21
8;14;-14
-19;0;3
-6;-15;6
16;12;-11
-10;2;7
2;-6;-1
-3;3;-4
4;1;5
-2;-4;-5
-4;1;2
6;1;-1
-4;-4;-1
-2;2;-1
3;-1;4
-2;-2;-1
-2;4;-5
2;-4;6
-2;2;-5
-2;-1;2
3;0;-4
-3;-2;2
-2;-1;-4
2;0;1
-1;-1;1
-3;2;-3
5;0;3
0;-1;-2
-3;-5;0
1;5;-4
1;-3;3
-1;1;0
0;2;3
0;0;-1
-3;-4;-4
-5;-2;3
-1;2;-2
1;1;-3
-1;0;-3
4;0;-2
3;-5;1
2;-1;1
2;1;0
-1;0;3
-1;0;-1
-5;1;-1
-5;-3;-2
-4;0;-2
1;1;5
0;3;-5
-1;-2;-4
0;0;3
3;2;-3
-1;-10;0
-3;5;2
2;0;2
5;-4;0
1;3;-3
-12;-3;0
4;2;3
-10;2;-3
4;0;3
30;9;-17
-26;-19;19
2;-3;0
-6;-13;-19
19;19;21
-15;-3;-25
-19;2;3
18;6;16
3;-3;-7
-6;1;9
-2;-10;-7
11;11;-3
-4;-14;-3
0;14;1
-1;-6;2
-8;10;-22
9;-8;19
3;4;-4
-18;-7;10
3;6;-11
4;2;52
19;1;-47
-23;-31;-15
-15;37;-42
50;-43;69
-31;22;-33
7;6;44
-53;-61;-30
55;53;12
4;21;-4
-15;-12;-7
95;-134;66
-99;139;-73
-25;-48;26
59;50;-37
-36;-42;18
8;35;-16
-20;8;46
38;-18;-14
-9;6;-8
-9;-14;-6
71;-147;31
-71;135;-39
8;19;13
-18;5;-20
25;-29;10
-21;20;-7
2;0;10
1;5;-7
-8;-9;4
1;7;-9
8;-2;8
-10;-8;0
1;4;-3
10;2;4
-9;-2;-4
-1;-1;1
5;1;0
-7;-2;2
2;0;-5
-2;1;1
-1;-1;1
4;1;-2
-1;-2;3
-4;-1;-4
0;2;0
-8;-1;3
4;-1;-3
0;3;1
-5;-5;2
2;0;-2
2;1;2
-3;-1;-1
3;-2;0
0;2;-3
-6;0;2
3;-2;-3
0;1;-1
-4;-1;4
0;0;-5
4;-1;3
-5;1;-3
3;-5;2
3;4;-6
-7;1;4
1;-4;-2
3;4;2
-4;-4;-1
0;1;-1
5;-3;-1
-6;4;0
3;-5;1
0;2;-5
-6;-1;7
2;-1;-4
4;0;-1
-3;-1;2
-3;-1;-2
6;0;1
-5;1;-1
0;-2;0
2;3;-5
1;-1;5
-6;-3;-2
6;3;-1
-5;-1;0
-2;-2;-3
6;0;3
-3;0;-1
-3;-2;3
2;2;-8
-3;0;5
-1;-4;-2
2;3;-3
-1;0;3
-2;-4;-2
4;0;0
-3;3;2
-1;-4;-1
1;1;-4
-2;2;5
-3;-3;-5
5;1;1
-3;-1;3
0;-2;-5
2;-1;1
-2;2;1
-4;-3;3
3;1;-6
-2;1;4
-3;-4;-3
5;1;0
-2;0;0
-3;-1;-3
4;0;0
-3;0;-1
-4;-4;2
2;3;-6
-2;2;8
-1;-5;-4
3;2;-3
1;-2;3
-4;-2;-3
3;1;0
-1;2;2
-3;-3;-1
3;1;-5
-3;1;5
-2;-3;-2
2;2;-1
0;-2;2
-3;-1;-3
4;-3;-1
-4;3;1
-2;-1;1
4;1;-4
-4;-1;4
0;-1;-2
3;2;-5
-1;-1;6
-1;-1;-4
4;-2;0
-7;3;1
0;-3;-2
4;2;-2
-5;0;3
-2;-3;-1
5;2;-3
-5;-3;4
0;-1;-4
6;0;0
-6;0;1
0;-3;-1
2;3;-4
-5;0;6
1;-2;-3
1;3;-4
-1;-4;6
-1;0;-3
7;0;-1
-8;0;2
3;-5;0
0;4;-2
-4;0;2
1;-3;-2
0;3;-3
-3;-2;4
-1;-2;-1
5;1;-1
-5;1;0
2;-3;-1
2;2;-3
-2;0;4
-3;-3;-3
3;2;-2
-2;0;5
0;-4;-4
-1;1;0
-1;2;-1
0;-4;1
0;1;-3
-5;0;1
3;-1;1
1;1;-3
-3;-1;3
3;-1;-3
4;-2;1
-9;2;-1
2;-4;1
4;4;-4
-8;-2;5
3;-3;-5
3;4;1
-7;-3;1
3;1;-5
5;-2;2
-7;0;0
0;-2;2
5;1;-7
-6;2;8
-1;-2;-5
4;0;0
-2;2;-1
0;-3;1
3;-2;2
-4;2;-4
-3;-3;8
3;1;-14
-6;-3;10
5;1;-3
3;1;0
-7;-2;1
3;2;-4
1;-4;-2
-4;0;3
2;-1;1
3;3;-7
-9;-2;5
4;1;-4
-1;0;-1
-2;-3;6
1;0;-4
2;-1;0
-5;1;0
4;0;-3
0;0;0
-4;-2;1
1;0;-2
0;1;2
-3;-3;1
1;0;-1
1;0;-2
-3;-2;0
2;3;-5
-2;-3;2
-2;-2;3
7;2;-7
-5;1;5
-6;-3;1
5;0;-4
-2;0;6
-5;-1;-6
7;1;-2
-3;-1;4
-2;-1;-2
5;-1;-1
-4;2;2
-1;-1;0
1;0;-6
-2;0;6
-2;-4;-4
4;1;-1
-6;0;4
1;1;-4
3;-4;1
-3;4;1
-1;-5;1
2;3;-6
-2;-1;4
-2;-1;-3
3;0;-2
-2;-1;3
0;-1;-4
5;0;0
-8;1;1
0;-3;2
4;4;-4
-6;-2;3
1;-1;-2
3;1;-2
-2;-3;4
-2;0;-6
3;-1;2
-4;2;-1
1;-4;1
2;0;-4
-8;3;4
4;-3;-4
2;0;0
-3;0;5
2;-2;-5
1;-2;3
-6;2;-1
4;-1;-2
-1;0;0
-5;-1;2
1;2;-1
4;-1;-2
-6;-3;3
3;3;-3
4;-2;2
-10;0;-1
6;1;-4
1;-1;1
-7;-1;2
6;-1;-3
-2;2;1
-6;-5;4
4;1;-7
1;0;4
-5;-1;-2
5;-1;-2
3;-1;-2
-11;1;7
6;1;-6
1;-1;-2
-8;-3;5
4;4;-4
2;-2;2
-8;-2;-3
6;0;-1
3;3;-5
-8;-8;7
9;11;-6
-7;-20;10
-11;10;-1
14;2;-8
-5;0;6
-2;-1;-7
9;1;1
-7;1;1
-2;-5;4
5;-1;-3
-3;2;-2
-3;-3;5
3;4;-9
-6;-2;5
3;-4;-2
1;5;-1
-3;-2;2
2;-3;-1
-3;-5;-2
2;9;4
-5;-8;9
1;2;-11
-3;5;-6
0;-2;7
3;0;-13
-6;-6;7
11;9;10
-14;-1;4
5;1;-30
10;-11;18
-4;-8;7
-6;26;-17
10;-6;8
-4;-22;-1
-15;3;22
40;35;-53
-2;14;48
-47;-70;5
53;36;-24
-26;-4;6
-41;8;13
174;31;3
-112;-77;-8
31;138;113
-60;-116;-141
3;38;21
-9;-47;-17
1;11;22
-7;-4;-7
28;-4;9
-14;-4;10
20;35;8
3;-33;-31
-17;-33;14
-90;35;-35
50;-340;94
48;375;-117
-29;-17;25
-42;64;-52
11;-101;70
28;0;10
20;40;-19
53;5;37
-48;5;-16
-66;-68;-22
58;55;-16
-32;-56;56
43;75;-57
-30;9;4
-23;-55;6
62;7;1
-8;108;-42
-11;-89;46
-11;-22;2
43;71;-21
-80;-63;77
15;28;-82
23;-32;29
-23;0;-18
9;1;32
12;3;-34
-1;-1;41
-29;-11;-43
41;25;6
-29;28;13
18;-45;-8
-12;9;40
21;-42;-44
-12;70;-7
-7;-7;-17
6;-42;19
9;25;43
-10;-8;-60
4;22;28
-13;-41;-13
8;37;-6
-15;16;-37
24;-24;44
-11;4;-4
22;-27;13
-5;50;0
-19;-62;6
29;27;-17
-37;-23;-25
3;13;40
0;-5;-45
3;5;48
-30;63;-64
32;-55;40
83;-66;43
-101;58;-4
37;-40;-43
-26;41;38
0;-51;-6
8;41;28
-20;-41;-14
32;67;-28
-36;-44;-29
45;67;-32
-46;22;45
-24;-119;-56
19;57;25
54;87;21
-51;-128;-24
30;33;2
-17;11;29
3;-14;25
3;-34;-22
-8;17;64
7;33;-34
6;-9;-26
-5;-2;-8
-84;42;-28
68;-86;22
9;76;28
30;51;-61
-106;-111;52
28;-6;-10
56;-249;455
-31;262;-483
-8;-3;7
3;-21;40
41;-26;-48
57;87;55
-82;6;6
-56;-40;-1
17;-45;38
5;38;-11
42;-19;-30
23;102;-68
-10;4;3
-17;-52;52
1;7;-103
0;-7;150
39;-17;-89
2;62;36
-23;-46;-76
-29;35;79
-37;-93;-17
61;46;13
-233;30;90
294;-17;-29
-60;-21;-58
-75;-7;-59
88;15;20
-219;-236;-17
201;238;45
0;55;-86
-76;-96;29
70;40;37
3;-14;-9
-99;-4;29
102;26;-38
31;-32;22
-86;-46;8
-41;129;153
74;-65;-164
-11;-39;-19
-17;43;53
32;-12;-40
5;-79;40
-8;67;-41
17;65;-32
-33;-87;93
30;62;-68
0;-58;17
-86;-11;10
72;9;-25
-42;18;39
11;19;-3
-9;-17;9
-216;25;-234
300;4;165
-67;-44;49
54;470;-161
-33;-470;209
-22;34;-109
24;-36;46
-14;36;38
27;-11;-24
-10;22;-35
-6;-20;10
-81;-183;-151
98;174;143
-5;-4;50
-36;12;-40
17;-38;41
83;326;-183
-88;-320;157
19;12;-33
-7;18;56
-41;-17;-23
63;21;-17
-21;-41;-10
-100;3;-11
39;71;0
76;-75;50
-33;20;-36
