x,y,z,36,broad_category
30.0,25.0,55.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,27.0,30.0,../datasets/Driving/Dataset driving 2.csv,Driving
45.0,29.0,51.0,../datasets/Driving/Dataset driving 2.csv,Driving
56.0,24.0,47.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,61.0,86.0,../datasets/Driving/Dataset driving 2.csv,Driving
81.0,41.0,76.0,../datasets/Driving/Dataset driving 2.csv,Driving
98.0,93.0,171.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,70.0,147.0,../datasets/Driving/Dataset driving 2.csv,Driving
92.0,57.0,89.0,../datasets/Driving/Dataset driving 2.csv,Driving
79.0,115.0,116.0,../datasets/Driving/Dataset driving 2.csv,Driving
35.0,71.0,96.0,../datasets/Driving/Dataset driving 2.csv,Driving
71.0,61.0,82.0,../datasets/Driving/Dataset driving 2.csv,Driving
62.0,64.0,146.0,../datasets/Driving/Dataset driving 2.csv,Driving
93.0,95.0,243.0,../datasets/Driving/Dataset driving 2.csv,Driving
98.0,114.0,176.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,99.0,147.0,../datasets/Driving/Dataset driving 2.csv,Driving
78.0,86.0,89.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,75.0,128.0,../datasets/Driving/Dataset driving 2.csv,Driving
99.0,60.0,116.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,81.0,101.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,54.0,108.0,../datasets/Driving/Dataset driving 2.csv,Driving
78.0,88.0,129.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,86.0,98.0,../datasets/Driving/Dataset driving 2.csv,Driving
104.0,51.0,31.0,../datasets/Driving/Dataset driving 2.csv,Driving
41.0,62.0,63.0,../datasets/Driving/Dataset driving 2.csv,Driving
83.0,29.0,76.0,../datasets/Driving/Dataset driving 2.csv,Driving
102.0,48.0,117.0,../datasets/Driving/Dataset driving 2.csv,Driving
84.0,31.0,108.0,../datasets/Driving/Dataset driving 2.csv,Driving
66.0,45.0,66.0,../datasets/Driving/Dataset driving 2.csv,Driving
67.0,62.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
71.0,60.0,104.0,../datasets/Driving/Dataset driving 2.csv,Driving
80.0,67.0,138.0,../datasets/Driving/Dataset driving 2.csv,Driving
63.0,50.0,58.0,../datasets/Driving/Dataset driving 2.csv,Driving
64.0,63.0,57.0,../datasets/Driving/Dataset driving 2.csv,Driving
64.0,43.0,50.0,../datasets/Driving/Dataset driving 2.csv,Driving
31.0,23.0,75.0,../datasets/Driving/Dataset driving 2.csv,Driving
36.0,58.0,79.0,../datasets/Driving/Dataset driving 2.csv,Driving
60.0,28.0,84.0,../datasets/Driving/Dataset driving 2.csv,Driving
87.0,59.0,77.0,../datasets/Driving/Dataset driving 2.csv,Driving
98.0,53.0,104.0,../datasets/Driving/Dataset driving 2.csv,Driving
62.0,33.0,98.0,../datasets/Driving/Dataset driving 2.csv,Driving
48.0,66.0,68.0,../datasets/Driving/Dataset driving 2.csv,Driving
55.0,58.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
